isbn,authors,original_publication_year,original_title,title,language_code,book_id,image_url
1554681723,Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,eng,216,https://images.gr-assets.com/books/1377206302m/3153910.jpg
,Rainbow Rowell,2013,,Fangirl,eng,324,https://images.gr-assets.com/books/1499565420m/16068905.jpg
679735771,Bret Easton Ellis,1991,American Psycho,American Psycho,eng,499,https://images.gr-assets.com/books/1436934349m/28676.jpg
,Jojo Moyes,2015,After You,"After You (Me Before You, #2)",eng,566,https://images.gr-assets.com/books/1429029729m/25041504.jpg
2266079999,Carl Sagan,1985,Contact,Contact,eng,1003,https://images.gr-assets.com/books/1408792653m/61666.jpg
61992259,"Katherine Applegate, Patricia Castelao",2012,The One and Only Ivan,The One and Only Ivan,eng,1047,https://images.gr-assets.com/books/1424981397m/11594337.jpg
450542882,Stephen King,1990,Four Past Midnight,Four Past Midnight ,en-GB,1208,https://images.gr-assets.com/books/1321023197m/133266.jpg
006083756X,Richard Wright,1940,Native Son ,Native Son,eng,1411,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1439138311,Colm Tóibín,2009,Brooklyn,Brooklyn,eng,1522,https://images.gr-assets.com/books/1489957005m/4954833.jpg
,Emma Chase,2013,Tangled,"Tangled (Tangled, #1)",eng,1658,https://images.gr-assets.com/books/1375808439m/18297707.jpg
